layer,avg_depth,avg_leaf_ratio,shallow_tree_ratio
0,2.14,0.7840069945342606,0.22
1,1.56,0.7814398966651989,0.34
2,2.38,0.7748912873923882,0.2
3,3.0,0.7789340075444293,0.0
4,0.68,0.8693644688644687,0.6
5,0.54,0.8822510822510822,0.64
6,2.6,0.7627192226184615,0.08
7,0.54,0.8951666666666668,0.7
8,0.54,0.9156666666666666,0.78
9,1.04,0.8154322001527884,0.4
10,2.08,0.7524170283621708,0.26
11,3.0,0.8002200343516134,0.0
