layer,avg_depth,avg_leaf_ratio,shallow_tree_ratio
0,2.14,0.7840069945342606,0.22
3,1.28,0.8042404653039193,0.42
6,0.6,0.8676082251082251,0.58
9,1.08,0.8422220725610817,0.48
11,3.0,0.7998869010073355,0.0
